N_Threads,Mesure,Temps_Execution_s
1,1,0.066140
1,2,0.066896
1,3,0.067877
1,4,0.066912
1,5,0.067354
2,1,0.067393
2,2,0.066659
2,3,0.066900
2,4,0.066467
2,5,0.066786
4,1,0.068565
4,2,0.068361
4,3,0.067539
4,4,0.069792
4,5,0.067788
8,1,0.075836
8,2,0.072851
8,3,0.075336
8,4,0.076610
8,5,0.069740
16,1,0.081675
16,2,0.069746
16,3,0.074212
16,4,0.072661
16,5,0.070150
32,1,0.073035
32,2,0.071312
32,3,0.337908
32,4,0.071014
32,5,0.233952
