N_Threads,Mesure,Temps_Execution_s
2,1,0.112064
2,2,0.115015
2,3,0.122575
2,4,0.129979
2,5,0.107611
4,1,0.454162
4,2,0.401862
4,3,0.427624
4,4,0.434492
4,5,0.398719
8,1,1.797907
8,2,1.376406
8,3,3.326577
8,4,2.339332
8,5,1.893698
16,1,2.341370
16,2,2.357100
16,3,2.781941
16,4,2.128697
16,5,1.670542
32,1,2.665495
32,2,2.070042
32,3,5.224907
32,4,2.280193
32,5,10.828224
