N_Threads,Mesure,Temps_Execution_s
1,1,0.009785
1,2,0.009814
1,3,0.009898
1,4,0.010076
1,5,0.009458
2,1,0.011623
2,2,0.012412
2,3,0.010223
2,4,0.010875
2,5,0.011540
4,1,0.014583
4,2,0.014989
4,3,0.012547
4,4,0.013945
4,5,0.014508
8,1,0.017981
8,2,0.019282
8,3,0.019187
8,4,0.018950
8,5,0.018441
16,1,0.021388
16,2,0.022787
16,3,0.021746
16,4,0.025639
16,5,0.024803
32,1,0.032675
32,2,0.029416
32,3,0.035858
32,4,0.031976
32,5,0.037116
